id,latitude,longitude,hub_id,driver_id,num_items,created_at,started_at,completed_at
2324,37.766016,-122.452881,7,75,1,3/12/14 3:04,3/12/14 3:09,3/12/14 3:19
2325,37.78118,-122.452,7,116,3,3/12/14 3:04,3/12/14 3:15,3/12/14 3:20
2326,37.79389,-122.43051,4,86,1,3/12/14 3:05,3/12/14 3:18,3/12/14 3:29
2327,37.7933,-122.41955,8,111,1,3/12/14 3:05,3/12/14 3:07,3/12/14 3:15
2328,37.80427,-122.41445,4,59,1,3/12/14 3:05,3/12/14 3:18,3/12/14 3:25
2329,37.79819,-122.43431,4,79,1,3/12/14 3:05,3/12/14 3:25,3/12/14 3:31
2330,37.771878,-122.409246,1,62,2,3/12/14 3:05,3/12/14 3:06,3/12/14 3:15
2331,37.802705,-122.443941,4,123,1,3/12/14 3:06,3/12/14 3:14,3/12/14 3:24
2332,37.76672,-122.43235,2,66,1,3/12/14 3:07,3/12/14 3:09,3/12/14 3:21
2333,37.76583,-122.449579,7,75,1,3/12/14 3:07,3/12/14 3:19,3/12/14 3:28
2334,37.78667,-122.39017,6,68,1,3/12/14 3:07,3/12/14 3:13,3/12/14 3:24
2335,37.784814,-122.443312,7,107,2,3/12/14 3:07,3/12/14 3:16,3/12/14 3:22
2336,37.75668,-122.41447,2,87,2,3/12/14 3:08,3/12/14 3:21,3/12/14 3:31
2337,37.7552,-122.42281,2,50,1,3/12/14 3:08,3/12/14 3:17,3/12/14 3:23
2338,37.78911,-122.42464,8,55,1,3/12/14 3:09,3/12/14 3:12,3/12/14 3:19
2339,37.788316,-122.438562,4,122,1,3/12/14 3:09,3/12/14 3:19,3/12/14 3:34
2340,37.75777,-122.44115,5,53,2,3/12/14 3:10,3/12/14 3:19,3/12/14 3:39
2341,37.7924,-122.42441,8,55,2,3/12/14 3:10,3/12/14 3:19,3/12/14 3:26
2342,37.767671,-122.44562,5,33,1,3/12/14 3:10,3/12/14 3:18,3/12/14 3:24
2343,37.802313,-122.417034,4,59,1,3/12/14 3:11,3/12/14 3:25,3/12/14 3:30
2344,37.77748,-122.40766,1,42,2,3/12/14 3:11,3/12/14 3:12,3/12/14 3:19
2345,37.74911,-122.41924,2,118,1,3/12/14 3:11,3/12/14 3:24,3/12/14 3:30
2346,37.7955,-122.43298,4,86,2,3/12/14 3:11,3/12/14 3:30,3/12/14 3:36
2347,37.758116,-122.435855,5,53,2,3/12/14 3:11,3/12/14 3:39,3/12/14 3:46
2348,37.79005,-122.4394,4,122,1,3/12/14 3:11,3/12/14 3:34,3/12/14 3:39
2349,37.74311,-122.40938,2,63,2,3/12/14 3:12,3/12/14 3:18,3/12/14 3:29
2350,37.78331,-122.39758,1,40,2,3/12/14 3:12,3/12/14 3:14,3/12/14 3:24
2351,37.7843,-122.404525,6,97,1,3/12/14 3:12,3/12/14 3:19,3/12/14 3:36
2352,37.79363,-122.42551,8,104,1,3/12/14 3:13,3/12/14 3:17,3/12/14 3:34
2353,37.78658,-122.401589,6,97,1,3/12/14 3:13,3/12/14 3:38,3/12/14 3:45
2354,37.78937,-122.391822,6,115,1,3/12/14 3:14,3/12/14 3:22,3/12/14 3:50
2355,37.789579,-122.390345,6,115,2,3/12/14 3:15,3/12/14 3:55,3/12/14 4:05
2356,37.79263,-122.40473,8,30,1,3/12/14 3:16,3/12/14 3:18,3/12/14 3:30
2357,37.767453,-122.42211,5,54,1,3/12/14 3:16,3/12/14 3:20,3/12/14 3:35
2358,37.749489,-122.431679,2,66,1,3/12/14 3:16,3/12/14 3:29,3/12/14 3:33
2359,37.7902,-122.40548,8,30,1,3/12/14 3:17,3/12/14 3:30,3/12/14 3:41
2360,37.76824,-122.42443,5,54,1,3/12/14 3:18,3/12/14 3:35,3/12/14 3:42
2361,37.78081,-122.39028,1,103,1,3/12/14 3:18,3/12/14 3:19,3/12/14 3:34
2362,37.789165,-122.43387,4,122,1,3/12/14 3:19,3/12/14 3:39,3/12/14 3:47
2363,37.80284,-122.43855,4,61,1,3/12/14 3:19,3/12/14 3:21,3/12/14 3:21
2364,37.7987,-122.42062,4,16,1,3/12/14 3:19,3/12/14 3:25,3/12/14 3:34
2365,37.76309,-122.433,5,36,1,3/12/14 3:21,3/12/14 3:27,3/12/14 3:32
2366,37.79224,-122.43113,4,78,2,3/12/14 3:21,3/12/14 3:26,3/12/14 3:35
2367,37.786786,-122.442814,7,116,1,3/12/14 3:21,3/12/14 3:25,3/12/14 3:33
2368,37.773204,-122.432351,5,33,2,3/12/14 3:22,3/12/14 3:30,3/12/14 3:33
2369,37.770851,-122.425365,5,39,1,3/12/14 3:23,3/12/14 3:32,3/12/14 3:39
2370,37.80034,-122.42495,4,16,1,3/12/14 3:24,3/12/14 3:34,3/12/14 3:41
2371,37.777189,-122.41672,8,111,2,3/12/14 3:24,3/12/14 3:25,3/12/14 3:43
2372,37.75914,-122.41083,2,118,1,3/12/14 3:26,3/12/14 3:34,3/12/14 3:46
2373,37.778078,-122.438413,5,33,2,3/12/14 3:26,3/12/14 3:36,3/12/14 3:44
2374,37.795347,-122.403212,8,55,1,3/12/14 3:27,3/12/14 3:45,3/12/14 3:58
2375,37.757638,-122.423404,2,112,2,3/12/14 3:27,3/12/14 3:35,3/12/14 3:41
2376,37.79598,-122.43674,4,123,2,3/12/14 3:27,3/12/14 3:30,3/12/14 3:43
2377,37.75622,-122.41554,1,100,1,3/12/14 3:27,3/12/14 3:29,3/12/14 3:41
2378,37.78085,-122.3949,1,46,1,3/12/14 3:27,3/12/14 3:29,3/12/14 3:35
2379,37.78783,-122.39072,6,67,1,3/12/14 3:28,3/12/14 3:38,3/12/14 3:47
2380,37.778875,-122.397221,1,113,1,3/12/14 3:29,3/12/14 3:31,3/12/14 3:45
2381,37.78066,-122.43829,5,33,1,3/12/14 3:30,3/12/14 3:44,3/12/14 3:49
2382,37.74699,-122.42542,5,36,1,3/12/14 3:30,3/12/14 3:39,3/12/14 3:50
2383,37.80047,-122.42392,4,99,1,3/12/14 3:31,3/12/14 3:32,3/12/14 3:39
2384,37.759833,-122.420605,5,91,1,3/12/14 3:31,3/12/14 3:45,3/12/14 4:00
2385,37.758289,-122.419012,2,87,1,3/12/14 3:32,3/12/14 3:38,3/12/14 3:47
2386,37.78873,-122.43042,8,104,1,3/12/14 3:32,3/12/14 3:33,3/12/14 3:40
2387,37.783036,-122.407517,1,114,1,3/12/14 3:34,3/12/14 3:34,3/12/14 3:47
2388,37.76256,-122.41612,1,42,1,3/12/14 3:34,3/12/14 3:35,3/12/14 3:47
